rad;cm
0.0;37.1790008544
0.01745277777777778;37.1790008544
0.03490555555555556;36.9749984741
0.05235833333333333;37.2299995422
0.06981111111111112;37.1790008544
0.08726388888888889;37.1790008544
0.10471666666666667;37.0260009765
0.12216944444444446;37.2299995422
0.13962222222222223;37.2299995422
0.15707500000000002;37.6549987792
0.17452777777777778;37.127998352
0.19198055555555554;37.2470016479
0.20943333333333333;37.2470016479
0.22688611111111112;37.2470016479
0.2443388888888889;37.5530014038
0.2617916666666667;37.1790008544
0.27924444444444446;37.6549987792
0.2966972222222222;37.7060012817
0.31415000000000004;37.7229995727
0.3316027777777778;37.7060012817
0.34905555555555556;38.1310005187
0.3665083333333334;37.7060012817
0.3839611111111111;38.1310005187
0.4014138888888889;38.0289993286
0.41886666666666666;38.080001831
0.4363194444444445;38.9640007019
0.45377222222222224;38.6069984436
0.47122500000000006;39.0320014953
0.4886777777777778;38.7939987182
0.5061305555555556;38.9300003051
0.5235833333333334;39.797000885
0.5410361111111112;40.6300010681
0.5584888888888889;85.016998291
0.5759416666666667;86.3259963989
0.5933944444444444;87.1760025024
0.6108472222222222;85.8499984741
0.6283000000000001;111.5370025634
0.6457527777777778;111.1800003051
0.6632055555555556;111.2310028076
0.6806583333333334;111.7070007324
0.6981111111111111;111.6559982299
0.7155638888888889;112.1320037841
0.7330166666666668;111.6729965209
0.7504694444444445;112.1320037841
0.7679222222222222;112.0810012817
0.785375;112.1149978637
0.8028277777777778;112.8119964599
0.8202805555555557;112.8629989624
0.8377333333333333;114.3420028686
0.8551861111111112;113.8320007324
0.872638888888889;127.6190032958
0.8900916666666666;127.1940002441
0.9075444444444445;127.1940002441
0.9249972222222222;126.9390029907
0.9424500000000001;127.1600036621
0.9599027777777778;126.8199996948
0.9773555555555556;126.5989990234
0.9948083333333334;126.7689971923
1.0122611111111113;126.5820007324
1.0297138888888888;126.1569976806
1.0471666666666668;126.7180023193
1.0646194444444446;126.2249984741
1.0820722222222223;126.6500015258
1.099525;126.2249984741
1.1169777777777778;126.7009963989
1.1344305555555556;126.191001892
1.1518833333333334;126.6839981079
1.1693361111111111;126.174003601
1.186788888888889;126.5479965209
1.2042416666666669;125.6470031738
1.2216944444444444;126.5139999389
1.2391472222222222;126.174003601
1.2566000000000002;126.6669998168
1.274052777777778;126.1569976806
1.2915055555555557;126.6839981079
1.3089583333333334;32.8950004577
1.3264111111111112;32.6570014953
1.343863888888889;32.8950004577
1.3613166666666667;33.3199996948
1.3787694444444445;33.3199996948
1.3962222222222223;33.3199996948
1.413675;31.5860004425
1.4311277777777778;31.1779994964
1.4485805555555555;31.1779994964
1.4660333333333335;31.5860004425
1.4834861111111113;31.4669990539
1.500938888888889;31.5860004425
1.5183916666666666;31.5860004425
1.5358444444444443;31.5860004425
1.5532972222222223;31.5860004425
1.57075;31.4500007629
1.5882027777777779;31.5860004425
1.6056555555555556;31.6879997253
1.6231083333333336;31.5690002441
1.6405611111111114;31.5860004425
1.658013888888889;31.1270008087
1.6754666666666667;31.5860004425
1.6929194444444444;32.1129989624
1.7103722222222224;31.5860004425
1.7278250000000002;31.7049999237
1.745277777777778;31.7730007171
1.7627305555555557;32.0110015869
1.7801833333333332;32.0110015869
1.7976361111111112;31.5860004425
1.815088888888889;34.1360015869
1.8325416666666667;34.1360015869
1.8499944444444445;34.96900177
1.8674472222222225;34.5610008239
1.8849000000000002;51.1529998779
1.902352777777778;50.5579986572
1.9198055555555555;50.7449989318
1.9372583333333333;50.7280006408
1.9547111111111113;50.7449989318
1.972163888888889;50.4900016784
1.9896166666666668;50.7449989318
2.007069444444445;50.7449989318
2.0245222222222226;50.0989990234
2.041975;50.7449989318
2.0594277777777776;50.7449989318
2.0768805555555554;50.7280006408
2.0943333333333336;50.5239982604
2.1117861111111114;50.7449989318
2.129238888888889;50.7449989318
2.146691666666667;50.7449989318
2.1641444444444446;50.3709983825
2.1815972222222224;50.7449989318
2.19905;50.7449989318
2.216502777777778;50.7449989318
2.2339555555555557;50.5069999694
2.2514083333333335;50.7449989318
2.268861111111111;50.7449989318
2.286313888888889;50.7449989318
2.3037666666666667;50.7280006408
2.3212194444444445;50.7280006408
2.3386722222222223;50.7449989318
2.356125;50.5069999694
2.373577777777778;50.7280006408
2.3910305555555555;51.2210006713
2.4084833333333338;51.2210006713
2.4259361111111115;50.6940002441
2.443388888888889;51.5779991149
2.4608416666666666;51.2210006713
2.4782944444444444;51.6290016174
2.4957472222222226;50.9659996032
2.5132000000000003;51.6459999084
2.530652777777778;52.0880012512
2.548105555555556;52.1049995422
2.565558333333333;51.8670005798
2.5830111111111114;52.5299987792
2.600463888888889;52.5299987792
2.617916666666667;53.6010017395
2.6353694444444447;55.080001831
2.6528222222222224;94.6729965209
2.670275;93.330001831
2.687727777777778;93.3809967041
2.7051805555555557;92.9560012817
2.7226333333333335;92.7180023193
2.7400861111111112;92.5479965209
2.757538888888889;92.2760009765
2.7749916666666667;92.377998352
2.7924444444444445;91.9700012207
2.8098972222222227;91.4940032958
2.82735;91.9700012207
2.8448027777777782;91.8170013427
2.8622555555555556;92.0210037231
2.8797083333333338;91.5960006713
2.897161111111111;91.1370010375
2.914613888888889;91.5790023803
2.932066666666667;91.6129989624
2.9495194444444444;91.3069992065
2.9669722222222226;91.0179977416
2.984425;91.222000122
3.001877777777778;91.1200027465
3.019330555555556;91.1200027465
3.036783333333333;90.6439971923
3.0542361111111114;91.1029968261
3.0716888888888887;90.8990020751
3.089141666666667;91.1200027465
3.1065944444444447;90.9670028686
3.124047222222223;90.6269989013
3.1415;91.1370010375
